segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,car_mean_velocity,truck_mean_velocity,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,max_parados,max_en_atasco,max_v_diff,num_cars,num_trucks,truck_pct
22,ATASCO,19.146564476709596,12.053674236084625,22.811671153936484,10.757996917851859,19.810535761687245,18.48259319173195,15.917230401910068,1097.137001450928,85.09584211870931,0,18,10,12,23.647024876765926,62.825,234.07507879319667,27.017212774642587,0.43003920055141404,1,18,23.66236188423689,20,20,0.5
23,ATASCO,19.162745116515413,13.135792191890518,22.641309490782238,9.50551729889172,19.812712986601277,18.51277724642955,15.917230401910068,1098.0641849495503,85.16775607340183,0,18,10,12,22.748785197793325,62.825,236.67692240526293,27.0409394281228,0.4304168631615249,1,18,23.66236188423689,20,20,0.5
24,ATASCO,19.179443386588964,13.354390522947241,22.45355203255644,9.0991615096092,19.804313261124836,18.5545735120531,15.917230401910068,1099.0210297130168,85.24197060706207,0,18,11,11,21.868516236665414,62.825,237.44004006192017,27.068086764602242,0.43084897357106633,1,18,23.66236188423689,20,20,0.5
25,ATASCO,19.194856753477318,13.741510409676327,22.249457761818462,8.507947352142136,19.78607507027006,18.603638436684577,15.917230401910068,1099.9042469163287,85.31047445989918,0,19,10,11,21.074171498810387,62.825,236.68231671059436,27.095766362648458,0.4312895561106002,1,19,23.66236188423689,20,20,0.5
26,ATASCO,19.20824473744621,14.229011573167945,22.452915923424555,8.22390435025661,19.760312802653058,18.65617667223936,15.917230401910068,1100.6714055679486,85.36997661087204,0,19,10,11,20.422212549760957,62.825,234.72181532870917,27.122288905506046,0.4317117215361089,1,19,23.66236188423689,20,20,0.5
27,ATASCO,19.219602923438508,14.760900105893745,23.16868033193713,8.407780226043384,19.730118145812487,18.709087701064526,15.917230401910068,1101.3222526761422,85.42045743750448,0,19,10,11,19.947468752620637,62.825,231.8473540154763,27.146874848704634,0.43210306165864915,1,19,23.66236188423689,20,20,0.5
28,ATASCO,19.229256976123306,15.295554348322138,23.676844552048504,8.381290203726365,19.69849477072427,18.760019181522345,15.917230401910068,1101.8754494873683,85.4633643383258,0,19,10,11,19.660430106183185,62.825,228.30085587975242,27.16926177150389,0.4324593994668347,1,19,23.66236188423689,20,20,0.5
29,ATASCO,19.23757173400346,15.516519279911943,24.027300582974444,8.510781303062501,19.667784617734434,18.807358850272486,15.917230401910068,1102.3519019882604,85.50031881779316,0,19,10,11,19.55060570249566,62.825,224.2725422846995,27.18941144657158,0.4327801264874107,1,19,23.66236188423689,20,20,0.5
30,ATASCO,19.244824423610968,15.56455436732222,24.26303119685844,8.698476829536219,19.63947893283541,18.85016991438653,15.917230401910068,1102.767495821719,85.53255299382653,0,20,9,11,19.593122785476794,62.825,219.90516876592994,27.2073669022076,0.4330659276117405,1,20,23.66236188423689,20,20,0.5
31,ATASCO,19.251191540693167,15.648952362198163,24.417819429972315,8.768867067774153,19.614306681246347,18.888076400139987,15.917230401910068,1103.1323445522546,85.56085129196963,0,20,8,12,19.755869285496715,62.825,215.30248107350428,27.223210640728166,0.4333181160482,1,20,23.66236188423689,20,20,0.5
32,ATASCO,19.25678199747762,15.78738656006896,24.516661105621854,8.729274545552894,19.592443669407412,18.921120325547825,15.917230401910068,1103.452689071539,85.58569776656721,0,21,7,12,20.005443582676833,62.825,210.5383657966837,27.237062078864575,0.43353859258041505,1,21,23.66236188423689,20,20,0.5
33,ATASCO,19.26167364365552,15.961697010879647,24.577317219085486,8.61562020820584,19.573728984159622,18.949618303151414,15.917230401910068,1103.7329903248688,85.60743841624675,0,20,8,12,20.311220869697138,62.825,205.66488588237962,27.249078219443373,0.4337298562585495,1,21,23.66236188423689,20,20,0.5
