segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
94,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2067.44
95,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2062.44
96,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2057.44
97,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2052.44
98,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2047.44
99,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2042.44
100,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2037.44
101,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2032.44
102,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2027.44
103,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2022.44
104,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2017.44
105,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2012.44
106,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2007.44
107,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2002.44
108,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1997.44
109,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1992.44
110,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1987.44
111,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,1982.44
