segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,coches_parados,coches_atasco,coches_frenando,coches_normal,coches_acelerando,coches_crucero,gap_min,gap_medio,gap_max,accel_media,coches_acelerando_count,coches_frenando_count,max_stopped_acumulado,max_v_diff_acumulado
77,DISOLVIENDO,27.83,25.97,29.82,3.85,0,0,0,33,0,2,42.97,66.81,246.81,0.0,16,19,1,24.44
78,DISOLVIENDO,27.84,25.99,29.81,3.82,0,0,0,33,0,2,43.09,66.81,245.26,0.0,15,20,1,24.44
79,DISOLVIENDO,27.84,26.01,29.81,3.8,0,0,0,33,0,2,43.18,66.81,243.71,0.0,15,20,1,24.44
80,DISOLVIENDO,27.84,26.04,29.81,3.77,0,0,0,33,0,2,43.29,66.81,242.16,0.0,15,20,1,24.44
81,DISOLVIENDO,27.85,26.07,29.81,3.74,0,0,0,33,0,2,43.4,66.81,240.62,0.0,15,20,1,24.44
82,DISOLVIENDO,27.85,26.09,29.8,3.71,0,0,0,33,0,2,43.53,66.81,239.08,0.0,14,21,1,24.44
83,DISOLVIENDO,27.85,26.12,29.8,3.68,0,0,0,33,0,2,43.66,66.81,237.54,0.0,14,21,1,24.44
84,DISOLVIENDO,27.86,26.15,29.8,3.65,0,0,0,33,0,2,43.8,66.81,236.01,0.0,14,21,1,24.44
85,DISOLVIENDO,27.86,26.16,29.8,3.64,0,0,0,33,0,2,43.95,66.81,234.47,0.0,13,22,1,24.44
86,DISOLVIENDO,27.86,26.17,29.79,3.62,0,0,0,33,0,2,44.1,66.81,232.94,0.0,13,22,1,24.44
87,DISOLVIENDO,27.87,26.19,29.79,3.6,0,0,0,33,0,2,44.26,66.81,231.41,0.0,13,22,1,24.44
88,DISOLVIENDO,27.87,26.21,29.79,3.58,0,0,0,33,0,2,44.41,66.81,229.89,0.0,13,22,1,24.44
89,DISOLVIENDO,27.87,26.22,29.79,3.56,0,0,0,33,0,2,44.48,66.81,228.37,0.0,13,22,1,24.44
90,DISOLVIENDO,27.87,26.24,29.78,3.54,0,0,0,33,0,2,44.56,66.81,226.85,0.0,13,22,1,24.44
91,DISOLVIENDO,27.88,26.26,29.78,3.52,0,0,0,33,0,2,44.64,66.81,225.33,0.0,14,21,1,24.44
92,DISOLVIENDO,27.88,26.28,29.78,3.5,0,0,0,33,0,2,44.74,66.81,223.81,0.0,14,21,1,24.44
93,DISOLVIENDO,27.88,26.3,29.78,3.47,0,0,0,33,0,2,44.84,66.81,222.3,0.0,14,21,1,24.44
94,DISOLVIENDO,27.89,26.32,29.77,3.45,0,0,0,33,0,2,44.95,66.81,220.79,0.0,14,21,1,24.44
95,DISOLVIENDO,27.89,26.34,29.77,3.43,0,0,0,33,0,2,45.07,66.81,219.29,0.0,14,21,1,24.44
96,DISOLVIENDO,27.89,26.35,29.77,3.41,0,0,0,32,0,3,45.19,66.81,217.78,0.0,14,21,1,24.44
97,DISOLVIENDO,27.89,26.36,29.76,3.4,0,0,0,32,0,3,45.31,66.81,216.28,0.0,14,21,1,24.44
98,DISOLVIENDO,27.9,26.37,29.76,3.39,0,0,0,32,0,3,45.44,66.81,214.78,0.0,14,21,1,24.44
99,DISOLVIENDO,27.9,26.39,29.76,3.37,0,0,0,32,0,3,45.58,66.81,213.29,0.0,14,21,1,24.44
100,DISOLVIENDO,27.9,26.4,29.75,3.35,0,0,0,32,0,3,45.63,66.81,211.8,0.0,14,21,1,24.44
101,DISOLVIENDO,27.9,26.41,29.75,3.34,0,0,0,32,0,3,45.7,66.81,210.31,0.0,14,21,1,24.44
102,DISOLVIENDO,27.91,26.43,29.75,3.32,0,0,0,32,0,3,45.77,66.81,208.83,0.0,15,20,1,24.44
103,DISOLVIENDO,27.91,26.44,29.74,3.3,0,0,0,32,0,3,45.84,66.81,207.35,0.0,15,20,1,24.44
104,DISOLVIENDO,27.91,26.46,29.74,3.28,0,0,0,32,0,3,45.93,66.81,205.87,0.0,15,20,1,24.44
105,DISOLVIENDO,27.91,26.48,29.74,3.26,0,0,0,32,0,3,46.02,66.81,204.39,0.0,15,20,1,24.44
106,DISOLVIENDO,27.92,26.49,29.73,3.24,0,0,0,32,0,3,46.12,66.81,202.92,0.0,15,20,1,24.44
107,DISOLVIENDO,27.92,26.5,29.73,3.23,0,0,0,32,0,3,46.22,66.81,201.46,0.0,15,20,1,24.44
108,DISOLVIENDO,27.92,26.51,29.73,3.22,0,0,0,32,0,3,46.32,66.81,199.99,0.0,15,20,1,24.44
109,DISOLVIENDO,27.92,26.52,29.72,3.2,0,0,0,32,0,3,46.43,66.81,198.53,0.0,15,20,1,24.44
110,DISOLVIENDO,27.93,26.53,29.72,3.19,0,0,0,32,0,3,46.55,66.81,197.08,0.0,15,20,1,24.44
111,DISOLVIENDO,27.93,26.54,29.72,3.18,0,0,0,32,0,3,46.62,66.81,195.63,0.0,15,20,1,24.44
112,DISOLVIENDO,27.93,26.55,29.71,3.16,0,0,0,32,0,3,46.67,66.81,194.18,0.0,15,20,1,24.44
113,DISOLVIENDO,27.93,26.56,29.71,3.15,0,0,0,32,0,3,46.73,66.81,192.73,0.0,15,20,1,24.44
114,DISOLVIENDO,27.93,26.57,29.7,3.13,0,0,0,32,0,3,46.79,66.81,191.29,0.0,16,19,1,24.44
115,DISOLVIENDO,27.94,26.59,29.7,3.11,0,0,0,32,0,3,46.86,66.81,189.86,0.0,16,19,1,24.44
116,DISOLVIENDO,27.94,26.6,29.69,3.09,0,0,0,32,0,3,46.93,66.81,188.43,0.0,16,19,1,24.44
117,DISOLVIENDO,27.94,26.61,29.69,3.08,0,0,0,32,0,3,47.01,66.81,187.0,0.0,16,19,1,24.44
118,DISOLVIENDO,27.94,26.63,29.69,3.06,0,0,0,32,0,3,47.09,66.81,185.57,0.0,16,19,1,24.44
119,DISOLVIENDO,27.94,26.63,29.68,3.05,0,0,0,32,0,3,47.18,66.81,184.16,0.0,16,19,1,24.44
120,DISOLVIENDO,27.95,26.64,29.68,3.04,0,0,0,32,0,3,47.28,66.81,182.74,0.0,16,19,1,24.44
121,DISOLVIENDO,27.95,26.65,29.67,3.03,0,0,0,32,0,3,47.37,66.81,181.33,0.0,16,19,1,24.44
122,DISOLVIENDO,27.95,26.65,29.67,3.01,0,0,0,32,0,3,47.47,66.81,179.93,0.0,16,19,1,24.44
123,DISOLVIENDO,27.95,26.66,29.66,3.0,0,0,0,32,0,3,47.52,66.81,178.53,0.0,16,19,1,24.44
124,DISOLVIENDO,27.95,26.67,29.66,2.99,0,0,0,32,0,3,47.56,66.81,177.13,0.0,16,19,1,24.44
125,DISOLVIENDO,27.96,26.68,29.65,2.97,0,0,0,32,0,3,47.61,66.81,175.74,0.0,16,19,1,24.44
126,DISOLVIENDO,27.96,26.69,29.65,2.96,0,0,0,32,0,3,47.67,66.81,174.35,0.0,17,18,1,24.44
127,DISOLVIENDO,27.96,26.7,29.64,2.94,0,0,0,32,0,3,47.73,66.81,172.97,0.0,17,18,1,24.44
128,DISOLVIENDO,27.96,26.71,29.64,2.92,0,0,0,32,0,3,47.79,66.81,171.6,0.0,17,18,1,24.44
129,DISOLVIENDO,27.96,26.72,29.63,2.91,0,0,0,32,0,3,47.86,66.81,170.23,0.0,17,18,1,24.44
130,DISOLVIENDO,27.97,26.74,29.63,2.89,0,0,0,32,0,3,47.93,66.81,168.86,0.0,17,18,1,24.44
131,DISOLVIENDO,27.97,26.74,29.62,2.88,0,0,0,32,0,3,48.01,66.81,167.51,0.0,17,18,1,24.44
132,DISOLVIENDO,27.97,26.74,29.62,2.87,0,0,0,32,0,3,48.09,66.81,166.15,0.0,17,18,1,24.44
133,DISOLVIENDO,27.97,26.75,29.61,2.86,0,0,0,32,0,3,48.18,66.81,164.8,0.0,17,18,1,24.44
134,DISOLVIENDO,27.97,26.76,29.6,2.85,0,0,0,32,0,3,48.26,66.81,163.46,0.0,17,18,1,24.44
135,DISOLVIENDO,27.97,26.76,29.6,2.83,0,0,0,32,0,3,48.31,66.81,162.13,0.0,17,18,1,24.44
136,DISOLVIENDO,27.98,26.77,29.59,2.82,0,0,0,32,0,3,48.34,66.81,160.8,0.0,17,18,1,24.44
137,DISOLVIENDO,27.98,26.78,29.59,2.81,0,0,0,32,0,3,48.39,66.81,159.47,0.0,17,18,1,24.44
138,DISOLVIENDO,27.98,26.79,29.58,2.79,0,0,0,32,0,3,48.43,66.81,158.15,0.0,18,17,1,24.44
139,DISOLVIENDO,27.98,26.8,29.57,2.78,0,0,0,32,0,3,48.48,66.81,156.84,0.0,18,17,1,24.44
140,DISOLVIENDO,27.98,26.81,29.57,2.76,0,0,0,32,0,3,48.54,66.81,155.54,0.0,18,17,1,24.44
141,DISOLVIENDO,27.98,26.82,29.56,2.74,0,0,0,31,0,4,48.6,66.81,154.24,0.0,18,17,1,24.44
142,DISOLVIENDO,27.99,26.83,29.55,2.73,0,0,0,31,0,4,48.66,66.81,152.95,0.0,18,17,1,24.44
143,DISOLVIENDO,27.99,26.83,29.55,2.72,0,0,0,31,0,4,48.73,66.81,151.66,0.0,18,17,1,24.44
144,DISOLVIENDO,27.99,26.83,29.54,2.71,0,0,0,31,0,4,48.8,66.81,150.38,0.0,17,18,1,24.44
145,DISOLVIENDO,27.99,26.84,29.53,2.69,0,0,0,31,0,4,48.88,66.81,149.11,0.0,17,18,1,24.44
146,DISOLVIENDO,27.99,26.84,29.53,2.68,0,0,0,31,0,4,48.95,66.81,147.85,0.0,17,18,1,24.44
147,DISOLVIENDO,27.99,26.85,29.52,2.67,0,0,0,31,0,4,49.0,66.81,146.59,0.0,17,18,1,24.44
148,DISOLVIENDO,28.0,26.86,29.51,2.66,0,0,0,31,0,4,49.03,66.81,145.34,0.0,17,18,1,24.44
149,DISOLVIENDO,28.0,26.86,29.5,2.64,0,0,0,31,0,4,49.07,66.81,144.1,0.0,17,18,1,24.44
150,DISOLVIENDO,28.0,26.87,29.5,2.63,0,0,0,31,0,4,49.11,66.81,142.86,0.0,17,18,1,24.44
151,DISOLVIENDO,28.0,26.88,29.49,2.61,0,0,0,31,0,4,49.15,66.81,141.63,0.0,18,17,1,24.44
152,DISOLVIENDO,28.0,26.88,29.48,2.6,0,0,0,31,0,4,49.2,66.81,140.41,0.0,18,17,1,24.44
153,DISOLVIENDO,28.0,26.89,29.47,2.58,0,0,0,31,0,4,49.25,66.81,139.2,0.0,18,17,1,24.44
154,DISOLVIENDO,28.0,26.9,29.46,2.56,0,0,0,31,0,4,49.31,66.81,138.0,0.0,18,17,1,24.44
155,DISOLVIENDO,28.01,26.91,29.46,2.55,0,0,0,31,0,4,49.37,66.81,136.8,0.0,18,17,1,24.44
156,DISOLVIENDO,28.01,26.91,29.45,2.54,0,0,0,31,0,4,49.43,66.81,135.62,0.0,18,17,1,24.44
157,DISOLVIENDO,28.01,26.91,29.44,2.53,0,0,0,31,0,4,49.49,66.81,134.44,0.0,18,17,1,24.44
158,DISOLVIENDO,28.01,26.92,29.44,2.52,0,0,0,31,0,4,49.56,66.81,133.27,0.0,18,17,1,24.44
159,DISOLVIENDO,28.01,26.92,29.44,2.52,0,0,0,31,0,4,49.63,66.81,132.11,0.0,18,17,1,24.44
160,DISOLVIENDO,28.01,26.93,29.44,2.51,0,0,0,31,0,4,49.66,66.81,130.95,0.0,18,17,1,24.44
161,DISOLVIENDO,28.01,26.93,29.44,2.5,0,0,0,31,0,4,49.68,66.81,129.81,0.0,18,17,1,24.44
162,DISOLVIENDO,28.01,26.94,29.44,2.5,0,0,0,31,0,4,49.72,66.81,128.68,0.0,18,17,1,24.44
163,DISOLVIENDO,28.02,26.95,29.44,2.49,0,0,0,31,0,4,49.75,66.81,127.55,0.0,19,16,1,24.44
164,DISOLVIENDO,28.02,26.95,29.43,2.48,0,0,0,31,0,4,49.8,66.81,126.43,0.0,19,16,1,24.44
165,DISOLVIENDO,28.02,26.96,29.43,2.47,0,0,0,31,0,4,49.84,66.81,125.33,0.0,19,16,1,24.44
166,DISOLVIENDO,28.02,26.97,29.43,2.46,0,0,0,31,0,4,49.89,66.81,124.23,0.0,19,16,1,24.44
