segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
74,DISOLVIENDO,23.21,21.3,24.89,3.6,15.92,1330.0,109.2,0,0,0,40,34.51,57.83,245.3,3041.3,0,0,2,23.61
75,DISOLVIENDO,23.21,21.33,24.89,3.57,15.92,1330.0,109.2,0,0,0,40,34.62,57.83,244.02,3046.3,0,0,2,23.61
76,DISOLVIENDO,23.21,21.36,24.89,3.54,15.92,1330.0,109.2,0,0,0,40,34.75,57.83,242.75,3051.3,0,0,2,23.61
77,DISOLVIENDO,23.22,21.39,24.89,3.5,15.92,1330.0,109.3,0,0,0,40,34.88,57.83,241.47,3056.1,0,0,2,23.61
78,DISOLVIENDO,23.22,21.42,24.89,3.47,15.92,1330.0,109.3,0,0,0,40,35.02,57.83,240.19,3061.0,0,0,2,23.61
79,DISOLVIENDO,23.22,21.45,24.89,3.44,15.92,1331.0,109.3,0,0,0,40,35.17,57.83,238.92,3065.8,0,0,2,23.61
80,DISOLVIENDO,23.23,21.46,24.89,3.43,15.92,1331.0,109.3,0,0,0,40,35.32,57.83,237.64,3070.5,0,0,2,23.61
81,DISOLVIENDO,23.23,21.47,24.89,3.41,15.92,1331.0,109.3,0,0,0,40,35.48,57.83,236.37,3075.2,0,0,2,23.61
82,DISOLVIENDO,23.23,21.49,24.89,3.39,15.92,1331.0,109.3,0,0,0,40,35.63,57.83,235.1,3079.9,0,0,2,23.61
83,DISOLVIENDO,23.23,21.51,24.88,3.37,15.92,1331.0,109.3,0,0,0,40,35.69,57.83,233.83,3084.4,0,0,2,23.61
84,DISOLVIENDO,23.24,21.53,24.88,3.35,15.92,1331.0,109.3,0,0,0,40,35.77,57.83,232.56,3088.9,0,0,2,23.61
85,DISOLVIENDO,23.24,21.55,24.88,3.33,15.92,1332.0,109.4,0,0,0,40,35.85,57.83,231.29,3093.4,0,0,2,23.61
86,DISOLVIENDO,23.24,21.57,24.88,3.31,15.92,1332.0,109.4,0,0,0,40,35.95,57.83,230.03,3097.7,0,0,2,23.61
87,DISOLVIENDO,23.24,21.59,24.88,3.29,15.92,1332.0,109.4,0,0,0,40,36.05,57.83,228.76,3102.0,0,0,2,23.61
88,DISOLVIENDO,23.25,21.62,24.88,3.26,15.92,1332.0,109.4,0,0,0,40,36.16,57.83,227.5,3106.2,0,0,2,23.61
89,DISOLVIENDO,23.25,21.64,24.88,3.24,15.92,1332.0,109.4,0,0,0,40,36.27,57.83,226.23,3110.4,0,0,2,23.61
90,DISOLVIENDO,23.25,21.66,24.88,3.22,15.92,1332.0,109.4,0,0,0,40,36.39,57.83,224.97,3114.6,0,0,2,23.61
91,DISOLVIENDO,23.25,21.67,24.87,3.21,15.92,1332.0,109.4,0,0,0,40,36.52,57.83,223.71,3118.8,0,0,2,23.61
92,DISOLVIENDO,23.26,21.68,24.87,3.19,15.92,1332.0,109.4,0,0,0,40,36.65,57.83,222.45,3122.9,0,0,2,23.61
93,DISOLVIENDO,23.26,21.69,24.87,3.18,15.92,1333.0,109.5,0,0,0,40,36.76,57.83,221.19,3127.0,0,0,2,23.61
94,DISOLVIENDO,23.26,21.71,24.87,3.16,15.92,1333.0,109.5,0,0,0,40,36.81,57.83,219.94,3131.0,0,0,2,23.61
95,DISOLVIENDO,23.26,21.72,24.87,3.15,15.92,1333.0,109.5,0,0,0,40,36.87,57.83,218.68,3135.0,0,0,2,23.61
96,DISOLVIENDO,23.27,21.74,24.87,3.13,15.92,1333.0,109.5,0,0,0,40,36.94,57.83,217.43,3138.9,0,0,2,23.61
97,DISOLVIENDO,23.27,21.75,24.87,3.11,15.92,1333.0,109.5,0,0,0,40,37.02,57.83,216.18,3142.8,0,0,2,23.61
98,DISOLVIENDO,23.27,21.77,24.86,3.09,15.92,1333.0,109.5,0,0,0,40,37.1,57.83,214.93,3146.6,0,0,2,23.61
99,DISOLVIENDO,23.27,21.79,24.86,3.08,15.92,1333.0,109.5,0,0,0,40,37.19,57.83,213.68,3150.4,0,0,2,23.61
