segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
71,DISOLVIENDO,28.25,26.27,29.9,3.63,11.94,1214.0,110.8,0,0,0,30,44.71,78.78,324.15,303.4,0,0,1,28.71
72,DISOLVIENDO,28.26,26.3,29.9,3.6,11.94,1214.0,110.8,0,0,0,30,44.85,78.78,322.99,303.8,0,0,1,28.71
73,DISOLVIENDO,28.26,26.33,29.9,3.57,11.94,1214.0,110.8,0,0,0,30,44.99,78.78,321.83,304.2,0,0,1,28.71
74,DISOLVIENDO,28.27,26.36,29.9,3.54,11.94,1215.0,110.8,0,0,0,30,45.15,78.78,320.68,304.6,0,0,1,28.71
75,DISOLVIENDO,28.27,26.39,29.9,3.5,11.94,1215.0,110.9,0,0,0,30,45.31,78.78,319.52,305.0,0,0,1,28.71
76,DISOLVIENDO,28.27,26.43,29.9,3.47,11.94,1215.0,110.9,0,0,0,30,45.49,78.78,318.37,305.3,0,0,1,28.71
77,DISOLVIENDO,28.28,26.46,29.9,3.44,11.94,1215.0,110.9,0,0,0,30,45.67,78.78,317.22,305.7,0,0,1,28.71
78,DISOLVIENDO,28.28,26.49,29.9,3.41,11.94,1215.0,110.9,0,0,0,30,45.86,78.78,316.06,306.1,0,0,1,28.71
79,DISOLVIENDO,28.28,26.52,29.9,3.37,11.94,1215.0,110.9,0,0,0,30,46.05,78.78,314.91,306.5,0,0,1,28.71
80,DISOLVIENDO,28.29,26.54,29.89,3.35,11.94,1216.0,110.9,0,0,0,30,46.25,78.78,313.76,306.8,0,0,1,28.71
81,DISOLVIENDO,28.29,26.56,29.89,3.34,11.94,1216.0,110.9,0,0,0,30,46.45,78.78,312.61,307.2,0,0,1,28.71
82,DISOLVIENDO,28.29,26.57,29.89,3.32,11.94,1216.0,111.0,0,0,0,30,46.65,78.78,311.46,307.6,0,0,1,28.71
83,DISOLVIENDO,28.3,26.59,29.89,3.3,11.94,1216.0,111.0,0,0,0,30,46.86,78.78,310.31,307.9,0,0,1,28.71
84,DISOLVIENDO,28.3,26.61,29.89,3.29,11.94,1216.0,111.0,0,0,0,30,47.07,78.78,309.16,308.3,0,0,1,28.71
85,DISOLVIENDO,28.3,26.62,29.89,3.27,11.94,1216.0,111.0,0,0,0,30,47.18,78.78,308.02,308.6,0,0,1,28.71
86,DISOLVIENDO,28.31,26.64,29.89,3.25,11.94,1216.0,111.0,0,0,0,30,47.27,78.78,306.87,309.0,0,0,1,28.71
87,DISOLVIENDO,28.31,26.66,29.89,3.23,11.94,1216.0,111.0,0,0,0,30,47.37,78.78,305.72,309.3,0,0,1,28.71
88,DISOLVIENDO,28.31,26.68,29.89,3.21,11.94,1217.0,111.0,0,0,0,30,47.48,78.78,304.58,309.6,0,0,1,28.71
89,DISOLVIENDO,28.31,26.7,29.89,3.19,11.94,1217.0,111.0,0,0,0,30,47.6,78.78,303.43,310.0,0,0,1,28.71
90,DISOLVIENDO,28.32,26.72,29.89,3.16,11.94,1217.0,111.0,0,0,0,30,47.72,78.78,302.29,310.3,0,0,1,28.71
91,DISOLVIENDO,28.32,26.74,29.89,3.14,11.94,1217.0,111.1,0,0,0,30,47.85,78.78,301.15,310.6,0,0,1,28.71
92,DISOLVIENDO,28.32,26.76,29.88,3.12,11.94,1217.0,111.1,0,0,0,30,47.99,78.78,300.01,310.9,0,0,1,28.71
93,DISOLVIENDO,28.32,26.79,29.88,3.1,11.94,1217.0,111.1,0,0,0,30,48.13,78.78,298.86,311.2,0,0,1,28.71
94,DISOLVIENDO,28.33,26.81,29.88,3.08,11.94,1217.0,111.1,0,0,0,30,48.28,78.78,297.72,311.6,0,0,1,28.71
95,DISOLVIENDO,28.33,26.82,29.88,3.06,11.94,1217.0,111.1,0,0,0,30,48.43,78.78,296.59,311.9,0,0,1,28.71
96,DISOLVIENDO,28.33,26.83,29.88,3.05,11.94,1217.0,111.1,0,0,0,30,48.58,78.78,295.45,312.2,0,0,1,28.71
97,DISOLVIENDO,28.33,26.84,29.88,3.04,11.94,1218.0,111.1,0,0,0,30,48.74,78.78,294.31,312.5,0,0,1,28.71
98,DISOLVIENDO,28.34,26.85,29.88,3.03,11.94,1218.0,111.1,0,0,0,30,48.9,78.78,293.17,312.8,0,0,1,28.71
99,DISOLVIENDO,28.34,26.86,29.88,3.01,11.94,1218.0,111.1,0,0,0,30,49.06,78.78,292.04,313.1,0,0,1,28.71
100,DISOLVIENDO,28.34,26.88,29.88,3.0,11.94,1218.0,111.1,0,0,0,30,49.19,78.78,290.9,313.4,0,0,1,28.71
101,DISOLVIENDO,28.34,26.89,29.88,2.99,11.94,1218.0,111.1,0,0,0,30,49.25,78.78,289.77,313.7,0,0,1,28.71
102,DISOLVIENDO,28.35,26.9,29.88,2.97,11.94,1218.0,111.2,0,0,0,30,49.32,78.78,288.64,314.0,0,0,1,28.71
103,DISOLVIENDO,28.35,26.92,29.88,2.96,11.94,1218.0,111.2,0,0,0,30,49.4,78.78,287.5,314.2,0,0,1,28.71
104,DISOLVIENDO,28.35,26.93,29.87,2.94,11.94,1218.0,111.2,0,0,0,30,49.49,78.78,286.37,314.5,0,0,1,28.71
105,DISOLVIENDO,28.35,26.94,29.87,2.93,11.94,1218.0,111.2,0,0,0,30,49.58,78.78,285.24,314.8,0,0,1,28.71
106,DISOLVIENDO,28.35,26.96,29.87,2.91,11.94,1218.0,111.2,0,0,0,30,49.68,78.78,284.11,315.1,0,0,1,28.71
107,DISOLVIENDO,28.36,26.97,29.87,2.9,11.94,1219.0,111.2,0,0,0,30,49.79,78.78,282.99,315.3,0,0,1,28.71
108,DISOLVIENDO,28.36,26.99,29.87,2.88,11.94,1219.0,111.2,0,0,0,30,49.9,78.78,281.86,315.6,0,0,1,28.71
109,DISOLVIENDO,28.36,27.0,29.87,2.86,11.94,1219.0,111.2,0,0,0,30,50.01,78.78,280.73,315.9,0,0,1,28.71
